ADDRESS,ZIP CODE,SALE PRICE,SALE DATE
153 AVENUE B,10009,6625000,2017-07-19
154 EAST 7TH STREET,10009,3936272,2016-09-23
301 EAST 10TH   STREET,10009,8000000,2016-11-17
210 AVENUE B,10009,3192840,2016-09-23
629 EAST 5TH STREET,10009,16232000,2016-11-07
530-532 EAST 5TH STREET,10009,10350000,2016-10-17
"327 EAST 3 STREET, 1C",10009,499000,2017-03-10
"327 EAST 3RD STREET, 5A",10009,529500,2017-06-09
"327 EAST 3 STREET, 2E",10009,423000,2017-07-14
"317 EAST 3RD STREET, 12",10009,501000,2017-03-16
"311 EAST 3RD STREET, 17",10009,450000,2016-09-01
"311 EAST 3RD, 22",10009,510000,2017-08-17
"742 EAST 6TH STREET, 1",10009,350000,2017-08-30
244 EAST 7TH STREET,10009,11900000,2017-06-21
244 EAST 7TH STREET,10009,11900000,2017-06-21
"248 EAST 7TH STREET, 24",10009,350000,2017-01-30
"248 EAST 7TH STREET, 2",10009,404000,2017-07-07
"254 EAST  7TH STREET, 4",10009,535000,2017-06-21
"267 EAST 7 ST, 4",10009,1400000,2017-08-04
"255 EAST 7TH STREET, 3F",10009,866000,2017-01-09
"414 EAST 10TH   STREET, 4E",10009,355000,2017-04-18
"206 EAST 7TH STREET, 17,18",10009,805000,2017-08-28
"623 EAST 6TH STREET, 8",10009,475000,2017-05-10
"621 EAST 6TH STREET, 6",10009,450000,2016-12-02
"621 EAST 6TH STREET, 10",10009,450000,2017-01-31
"199 EAST 7TH   STREET, 2C",10009,810000,2017-06-28
"618 EAST 9TH STREET, 2 E",10009,300000,2017-08-24
"620 EAST 9TH STREET, 3E",10009,300000,2017-08-30
"323 EAST 8TH STREET, 2A",10009,579000,2017-06-27
"303 EAST 8TH STREET, 3F",10009,1500000,2017-03-17
"163 AVENUE C, 2",10009,25000,2017-06-14
"633 EAST 11TH STREET, 12",10009,512000,2017-01-17
"633 EAST 11TH STREET, 23",10009,410000,2017-01-11
"633 EAST 11TH STREET, 19",10009,500000,2017-04-21
"633 E 11TH ST, 17",10009,510000,2017-06-29
"634 EAST 14TH STREET, 1",10009,475000,2016-10-05
"634 EAST 14TH STREET, 4",10009,789019,2017-02-02
"632 EAST 14TH STREET, 3",10009,425000,2017-04-13
"626 EAST 14TH STREET, 9",10009,490000,2017-06-29
"185 EAST 2ND STREET, C",10009,409000,2017-06-06
"185 EAST 2ND STREET, 2B",10009,415000,2017-07-17
"162 EAST 2ND STREET, 3A",10009,420000,2016-12-06
"162 EAST 2ND STREET, 1C",10009,435000,2017-07-13
"225 EAST 4TH STREET, 1",10009,575000,2017-05-17
"225 EAST 4TH STREET, 20",10009,605000,2017-08-28
"504 EAST 6TH STREET, 1",10009,799000,2017-05-31
"504 EAST 6TH STREET, 5",10009,800000,2017-07-12
"527 EAST 5 STREET, 1",10009,54993,2017-01-19
"513 EAST 5TH STREET, 3A",10009,410000,2016-12-14
"537 EAST 6TH STREET, 5",10009,1475000,2017-05-03
"512 EAST 11TH STREET, 5C",10009,335000,2016-09-29
"534 EAST 11TH STREET, 21",10009,490000,2017-08-07
"544 EAST 11TH STREET, 3A",10009,750000,2017-01-20
"546 EAST 11TH STREET, 2B",10009,780000,2017-02-23
"297 EAST 10TH STREET, 2",10009,2400000,2016-09-12
"519 EAST 11TH STREET, 4W",10009,380000,2017-08-09
"527 EAST 12TH   STREET, E2",10009,430000,2017-04-07
"735 EAST 9 STREET, 3RW",10009,499900,2017-04-13
"300 EAST 4TH STREET, 1D",10009,1400000,2017-05-11
"223 EAST 3RD STREET, 2D",10009,694000,2016-09-29
254 EAST 2ND STREET,10009,28000000,2016-10-13
183-189 AVENUE B,0,8058923,2017-08-09
250 EAST HOUSTON STREET,10002,52625000,2016-10-19
211 EAST 3RD   STREET,10009,620000,2016-12-30
324 EAST 4TH STREET,10009,762669,2016-09-21
324 EAST 4TH STREET,10009,772851,2016-09-12
324 EAST 4TH   STREET,10009,1034880,2016-11-03
324 EAST 4TH STREET,10009,800000,2016-09-07
324 EAST 4TH   STREET,10009,2295759,2016-09-01
754 EAST 6TH   STREET,10009,875000,2017-03-31
399 EAST 8TH   STREET,10009,701341,2017-02-14
399 EAST 8TH   STREET,10009,753421,2017-02-01
399 EAST 8TH   STREET,10009,771980,2017-05-08
399 EAST 8TH   STREET,10009,1247356,2017-01-31
310 EAST HOUSTON STREET,10002,2150000,2017-08-14
217 EAST 7TH STREET,10009,550000,2017-06-23
217 EAST 7TH   STREET,10009,1085000,2017-03-27
631 EAST 9TH   STREET,10009,910000,2017-07-06
189 AVENUE C,10009,910000,2017-06-12
189 AVENUE C,10009,730000,2017-06-22
189 AVENUE C,10009,725000,2017-02-17
189 AVENUE C,10009,1300000,2016-12-23
189 AVENUE C,10009,770000,2017-08-24
215 AVENUE B,10009,1750000,2017-08-14
175 EAST 2ND STREET,10009,1150000,2017-07-24
240 EAST HOUSTON STREET,10002,2085000,2017-01-09
100 AVENUE A,10009,1680112,2016-12-08
100 AVENUE A,10009,1150000,2017-04-25
100 AVENUE A,10009,1308451,2016-12-13
100 AVENUE A,10009,1863397,2017-05-08
100 AVENUE A,10009,1603743,2017-01-12
100 AVENUE A,10009,1781937,2016-12-07
100 AVENUE A,10009,1245000,2017-03-03
100 AVENUE A,10009,1200000,2017-01-25
100 AVENUE A,10009,1900000,2016-12-13
100 AVENUE A,10009,1150000,2016-12-19
100 AVENUE A,10009,1800000,2016-12-16
100 AVENUE A,10009,1318633,2017-01-20
100 AVENUE A,10009,1385000,2016-12-09
100 AVENUE A,10009,2150000,2016-12-29
100 AVENUE A,10009,1236300,2016-12-16
100 AVENUE A,10009,1934675,2016-12-06
100 AVENUE A,10009,1237000,2017-01-13
100 AVENUE A,10009,1461188,2016-12-08
100 AVENUE A,10009,1957475,2016-12-16
100 AVENUE A,10009,1221900,2017-02-24
100 AVENUE A,10009,2250000,2016-12-21
100 AVENUE A,10009,1495000,2016-12-21
100 AVENUE A,10009,1310000,2017-03-30
100 AVENUE A,10009,1934675,2017-04-14
100 AVENUE A,10009,1250000,2017-05-22
100 AVENUE A,10009,2611811,2016-12-29
100 AVENUE A,10009,4159551,2016-12-21
100 AVENUE A,10009,1303360,2017-05-19
100 AVENUE A,10009,2250000,2017-02-08
100 AVENUE A,10009,2392887,2016-12-09
100 AVENUE A,10009,1578287,2016-12-06
100 AVENUE A,10009,1400093,2017-01-30
525 EAST 11TH   STREET,10009,4552375,2016-11-08
525 EAST 11TH STREET,10009,750000,2017-03-02
525 EAST 11TH STREET,10009,2385000,2017-05-08
536 EAST 13TH   STREET,10009,1400093,2017-01-05
536 EAST 13TH   STREET,10009,1478499,2016-10-11
624 EAST 9TH   STREET,10009,3300000,2016-11-15
165 AVENUE B,10009,7215000,2017-01-30
183 AVENUE B,10009,4750000,2017-04-03
296 EAST 2ND STREET,10009,805000,2016-09-06
296 EAST 2ND   STREET,10009,735000,2016-11-28
753 EAST 5TH   STREET,10009,810000,2016-11-14
211-213 EAST 2ND STREET,10009,3035000,2017-04-20
619 EAST 11 STREET,10009,630000,2017-01-20
619 EAST 11TH ST.,10009,680000,2017-05-05
643 EAST 11TH STREET,10009,995000,2017-07-18
549 EAST 11TH STREET,10009,494500,2017-08-04
525 EAST 12TH STREET,10009,1875000,2017-05-15
209 EAST 2ND   STREET,10009,2700000,2017-07-31
67 AVENUE C,10009,1500000,2017-06-07
"99 AVENUE B, 2A",10009,635000,2016-11-02
"99 AVENUE B, 3A",10009,700000,2017-04-19
"99 AVENUE B, 6BC",10009,1100000,2017-06-12
"99 AVENUE B, 6ED",10009,1900000,2017-08-07
"186 EAST 2ND   STREET, 8",10009,485000,2017-07-11
"50 AVENUE A, 2D",10009,1175000,2017-02-01
115 AVENUE C,10009,3700000,2016-09-28
310 EAST HOUSTON STREET,10002,10800000,2017-03-10
250 EAST HOUSTON STREET,10002,52625000,2016-10-19
224 WEST 22ND   STREET,10011,7425000,2016-12-30
218 WEST 20TH   STREET,10011,7750000,2017-04-17
444 WEST 22ND STREET,10011,8300000,2017-02-02
121 WEST 15TH STREET,10011,2850000,2017-04-20
253 10TH   AVENUE,10001,16000000,2016-09-08
459 WEST 24TH   STREET,10011,5950000,2016-10-26
318 WEST 20TH STREET,10011,7375000,2017-02-06
348 WEST 22ND STREET,10011,8000000,2017-02-06
256 WEST 15TH STREET,10011,14100000,2017-03-23
219 WEST 15TH STREET,10011,1583840,2017-08-31
219 WEST 15TH STREET,10011,416790,2017-08-31
219 WEST 15TH STREET,10011,630370,2017-08-31
222 WEST 21ST   STREET,10011,29400000,2016-11-10
149 WEST 14TH STREET,10011,6450000,2017-02-02
147 WEST 14TH STREET,10011,5500000,2017-02-02
145 WEST 14TH STREET,10011,5750000,2017-02-02
148 WEST 15TH   STREET,10011,3485000,2016-12-05
559 WEST 23RD   STREET,10011,4600000,2016-11-29
155 WEST 18TH,10011,2341975,2016-10-28
"434 WEST 20TH STREET, 8",10011,1835000,2017-06-06
"452 WEST 20TH, THIRD",10011,700000,2016-12-23
"409 WEST 21ST STREET, 4",10011,1587500,2017-07-31
"405 WEST 21 STREET, 1F",10011,310000,2016-11-21
"405 WEST 21ST STREET, 3F",10011,550000,2017-01-27
"453 WEST 22ND STREET, 3R",10011,354500,2016-09-26
"429 WEST 22ND STREET, 4-G",10011,1750000,2017-01-25
