id,BOROUGH,ADDRESS,ZIP CODE,SALE PRICE,SALE DATE,lat,long,returned_street_name,returned_zip_code
6996,1,125 RIVINGTON STREET,10002,9800000,9/1/16,40.71951637,-73.98722942,RIVINGTON STREET,10002
9612,1,151 WEST 48TH   STREET,10036,13010500,9/1/16,40.75962489,-73.98309587,WEST 48TH   STREET,10036
190,2,3964 AMUNDSON AVENUE,10466,405000,9/1/16,40.8910611,-73.8360134,AMUNDSON AVENUE,10466
320,2,3438 EDSON AVENUE,10469,599000,9/1/16,40.88002318,-73.83883958,EDSON AVENUE,10469
890,2,3318 HONE AVENUE,10469,104000,9/1/16,40.87343264,-73.8571916,HONE AVENUE,10469
1796,2,2145 MOHEGAN AVENUE,10460,371124,9/1/16,40.84693082,-73.88243018,MOHEGAN AVENUE,10460
2038,2,1491 JEROME AVENUE,10452,5000000,9/1/16,40.84211915,-73.91691053,JEROME AVENUE,10452
2039,2,1491 JEROME AVENUE,10452,3500000,9/1/16,40.84211915,-73.91691053,JEROME AVENUE,10452
3530,2,1979 MORRIS AVE,10453,445000,9/1/16,40.85138913,-73.90754782,MORRIS AVE,10453
3656,2,1456 LELAND AVENUE,10460,380000,9/1/16,40.83713679,-73.86412145,LELAND AVENUE,10460
4093,2,2546 WESTERVELT AVENUE,10469,435000,9/1/16,40.8639375,-73.83955102,WESTERVELT AVENUE,10469
4411,2,5749 FARADAY AVENUE,10471,876000,9/1/16,40.90504007,-73.89828091,FARADAY AVENUE,10471
5087,2,2837 WELLMAN AVENUE,10461,310000,9/1/16,40.84158185,-73.83564385,WELLMAN AVENUE,10461
5460,2,1125 THIERIOT AVENUE,10472,475000,9/1/16,40.82857861,-73.86398355,THIERIOT AVENUE,10472
5562,2,1230 BEACH AVENUE,10472,500000,9/1/16,40.83089459,-73.86584702,BEACH AVENUE,10472
6015,2,741 CALHOUN AVENUE,10465,550000,9/1/16,40.82609701,-73.82503372,CALHOUN AVENUE,10465
